"husage","husearns","huseduc","husblck","hushisp","hushrs","kidge6","earns","age","black","educ","hispanic","union","kidlt6","hrwage"
31,800,17,0,0,40,0,480,29,0,14,0,0,0,12
33,950,13,0,0,60,0,455,30,0,12,0,0,1,11.375
34,1000,14,0,0,50,1,102,31,0,12,0,0,0,5.1
42,730,14,0,0,40,1,300,41,0,12,0,0,0,10
45,1154,16,0,0,38,1,425,45,0,18,0,0,0,12.14286
33,1350,16,0,0,40,0,770,32,0,12,0,0,0,19.25
31,769,18,0,0,55,0,125,27,0,14,0,0,1,5.952381
31,340,12,0,0,40,0,245,30,0,15,0,0,1,7
44,750,12,0,0,40,1,539,42,0,12,0,0,0,13.475
45,1200,12,0,0,50,0,300,42,0,12,0,0,0,7.5
22,249,12,0,0,40,0,299,23,0,13,0,0,0,7.475
66,500,16,0,0,40,0,500,55,0,12,0,0,0,12.5
43,400,12,0,0,50,1,260,31,0,12,0,0,0,6.5
26,520,14,0,0,36,0,345,27,0,14,0,0,0,8.625
51,500,12,0,0,40,0,320,49,0,12,0,0,0,5.333333
38,1500,16,0,0,40,0,550,38,0,16,0,0,1,13.75
37,465,12,0,0,50,0,687,32,0,17,0,1,1,17.175
54,300,18,0,0,60,0,400,52,0,18,0,1,0,8
29,600,16,0,0,50,0,460,27,0,14,0,0,1,11.5
35,600,16,0,0,42,0,600,31,0,12,0,0,0,15
38,240,18,0,0,48,1,400,36,0,16,0,0,0,10
31,675,16,0,0,40,0,434,32,0,14,0,0,1,18.08333
46,1000,12,0,0,24,0,992,33,0,12,0,1,0,24.8
31,266,13,0,1,38,0,200,27,0,12,1,0,1,5
41,520,12,0,0,40,1,240,37,0,13,0,0,0,6
44,401,6,0,0,40,0,220,45,0,12,0,0,0,5.5
46,950,11,0,0,45,0,150,46,0,11,0,0,0,6.25
31,550,12,0,0,40,0,670,30,0,12,0,0,0,11.16667
27,338,12,0,0,25,0,333,28,0,16,0,0,1,8.325
33,480,13,1,0,40,0,360,32,1,14,0,0,1,9
33,850,18,0,0,40,0,646,34,0,16,0,0,0,16.15
60,450,10,0,0,54,0,543,57,0,12,0,1,0,13.575
54,400,12,0,0,40,0,325,54,0,12,0,0,0,8.125
48,600,12,0,0,40,0,235,50,0,13,0,0,0,6.714286
37,600,18,0,0,38,0,230,26,0,13,0,0,1,9.2
24,280,12,1,0,40,0,200,29,1,12,0,0,1,6.666667
54,500,12,0,0,55,0,100,51,0,12,0,0,0,4.761905
50,780,12,0,0,40,0,600,42,0,16,0,1,0,15
49,606,12,0,0,57,0,126,50,0,12,0,0,0,4.5
37,600,16,0,0,38,1,450,36,0,16,0,1,0,12.85714
56,1200,12,0,0,40,0,450,54,0,15,0,0,0,18.75
24,430,16,0,0,40,0,153,23,0,16,0,0,0,5.1
51,1600,18,0,0,50,0,275,51,0,12,0,0,0,10.18519
34,368,10,0,0,32,1,231,33,0,12,0,0,0,5.775
35,175,18,0,0,20,0,400,27,0,16,0,0,1,10
37,400,12,0,0,40,1,400,38,0,14,0,0,0,10
27,625,13,0,0,40,0,396,26,0,12,0,0,0,11.31429
39,360,14,0,0,40,0,500,33,0,14,0,1,1,12.5
26,1200,13,0,0,40,0,500,25,0,16,0,0,0,11.11111
38,1000,14,0,0,46,0,700,38,0,14,0,1,1,20
38,770,14,0,0,32,1,414,38,0,14,0,0,0,17.25
33,400,12,0,0,40,0,105,28,0,12,0,0,0,3.5
27,200,12,0,0,40,0,326,22,0,12,0,0,0,8.15
39,1500,16,0,0,40,0,500,38,0,12,0,1,0,12.5
32,650,13,0,0,50,1,425,33,0,14,0,0,0,10.625
52,440,10,0,0,40,1,126,37,0,12,0,0,0,3.9375
54,770,18,0,0,40,0,475,56,0,14,0,0,0,11.875
25,230,13,0,0,40,0,650,24,0,14,1,0,1,16.25
34,400,12,0,0,48,0,200,34,0,10,0,0,1,6.666667
42,486,12,0,0,48,0,136,39,0,12,0,0,0,5.666667
31,170,12,0,0,40,0,200,31,0,12,0,0,1,5
61,264,12,0,0,40,0,418,55,0,12,0,0,0,10.45
36,700,14,0,0,40,0,680,33,0,14,0,0,1,18.88889
50,300,12,0,0,45,0,300,51,0,12,0,0,0,7.5
35,550,16,0,0,40,0,300,34,0,16,0,0,1,10
42,529,18,0,0,40,0,323,32,0,14,0,0,1,8.075
41,750,17,1,0,55,0,770,42,1,17,0,1,1,15.4
41,340,13,0,0,40,1,233,41,0,12,0,0,0,5.825
57,600,14,1,0,40,0,450,50,1,12,0,0,0,11.25
59,550,13,0,0,49,0,760,57,0,18,0,0,0,15.2
29,375,16,0,0,40,0,310,28,0,16,0,0,0,7.75
30,962,18,0,0,40,0,480,29,0,16,0,0,0,9.6
45,600,16,0,0,50,0,600,43,0,18,0,1,0,15
27,750,16,0,0,38,0,450,27,0,16,0,0,0,11.25
57,1923,16,0,0,60,0,1000,56,0,16,0,0,0,20
26,400,12,0,0,50,0,320,24,0,12,0,0,0,8
46,736,11,0,0,52,1,196,42,0,12,0,0,0,6.533333
30,360,14,0,0,40,0,512,29,0,16,0,1,1,16
41,750,13,0,0,55,1,275,38,0,13,0,0,0,6.875
57,480,16,0,0,40,0,240,36,0,12,0,1,0,6
47,500,13,0,0,40,1,168,46,0,14,0,0,0,7
35,900,13,0,0,40,1,105,39,0,12,0,0,0,5.25
41,1100,14,0,0,40,1,287,40,0,14,0,0,0,8.2
25,320,13,0,0,40,0,404,25,0,14,0,0,1,10.1
33,280,14,0,0,40,0,500,32,0,17,0,1,0,12.5
52,1300,16,0,0,40,0,462,50,0,16,0,1,0,10.26667
43,450,13,0,0,35,0,425,42,0,12,0,0,0,12.14286
45,611,12,0,0,40,0,608,40,0,15,0,1,0,15.2
34,512,12,0,1,50,0,308,27,0,12,1,0,1,7.7
41,727,14,0,0,40,0,727,42,0,12,0,1,1,18.175
26,470,12,1,0,40,0,500,25,1,12,0,0,0,12.5
33,865,16,0,0,40,0,150,29,0,12,0,0,1,3.75
46,480,16,0,0,60,1,340,44,0,17,0,0,0,8.5
30,950,14,0,0,52,0,333,30,0,14,0,0,0,8.325
47,907,14,0,0,40,1,160,47,0,12,0,1,0,8
42,660,16,0,0,40,0,375,40,0,16,0,0,1,9.375
24,280,9,0,0,42,0,400,23,0,12,0,0,1,8.888889
21,600,13,0,0,56,1,300,33,0,12,0,0,0,7.5
41,400,12,0,0,45,1,350,44,0,16,0,0,0,7.777778
41,240,12,0,0,48,1,550,38,0,12,0,0,0,12.22222
41,675,13,0,0,55,1,276,42,0,13,0,0,0,6.9
44,420,12,0,0,52,1,345,43,0,13,0,0,0,11.5
29,350,17,0,0,40,0,497,29,0,14,0,0,1,13.80556
40,625,18,0,0,35,1,165,37,0,12,0,0,0,6.6
55,450,12,0,0,40,1,314,41,0,12,0,0,0,7.85
43,260,13,0,0,40,1,300,44,0,14,0,1,0,7.5
37,635,18,0,0,32,0,615,28,0,18,0,0,1,15.375
29,756,16,0,0,43,0,654,30,0,16,0,0,0,16.35
43,413,14,0,0,40,1,260,42,0,12,0,0,0,6.5
27,225,12,1,0,40,0,357,29,1,12,0,0,1,8.925
42,500,18,0,0,40,1,400,28,0,18,0,0,0,10
45,780,12,0,0,40,1,435,42,0,12,0,0,0,10.875
52,630,12,0,0,55,0,580,53,0,12,0,0,0,10.54545
40,385,12,0,0,58,1,433,37,0,12,0,1,0,10.825
49,460,12,0,0,40,0,280,45,0,12,0,1,0,7
32,400,12,0,0,60,0,360,30,0,12,0,0,1,9
57,875,12,0,0,45,0,442,49,0,12,0,0,0,11.05
31,425,12,0,0,50,0,150,24,0,10,0,0,1,5
55,660,12,0,0,40,0,600,45,0,12,0,0,0,25
59,625,12,0,0,45,0,398,56,0,12,0,1,0,9.95
28,300,12,0,0,40,0,180,29,0,12,0,0,1,9
29,300,12,0,1,40,0,344,27,0,12,1,0,1,8.6
45,1500,14,0,0,40,0,600,44,0,16,0,0,0,15
37,650,12,0,0,45,0,370,26,0,13,0,0,0,9.25
61,250,10,0,0,52,0,200,58,0,12,0,0,0,5.714286
35,530,12,0,0,45,1,682,34,0,12,0,0,0,17.05
36,600,12,0,0,60,0,350,35,0,16,0,0,1,8.75
34,660,8,0,0,60,0,195,29,0,14,0,0,1,9.285714
37,600,13,0,0,60,0,458,30,0,12,0,0,1,11.45
47,440,12,1,0,40,0,162,45,1,12,0,1,0,4.05
62,692,12,0,0,40,0,692,57,0,12,0,0,0,17.3
41,85,12,1,0,40,1,268,39,1,12,0,1,0,6.7
42,224,12,1,0,40,1,500,41,1,12,0,0,0,12.5
28,446,12,0,0,40,0,420,41,0,13,0,0,0,10.5
59,700,16,0,0,40,0,130,54,0,16,0,0,0,6.5
35,666,12,0,0,44,0,360,27,0,12,0,0,0,9
32,560,13,0,1,40,0,308,33,0,15,1,0,1,7.7
35,443,16,0,0,55,0,275,25,0,16,0,0,0,6.111111
44,538,17,0,0,40,0,480,36,0,17,0,1,1,12
31,742,16,0,0,45,0,385,26,0,14,0,0,0,9.625
31,485,12,0,0,58,0,125,26,0,12,0,0,1,5.208333
36,382,18,0,0,29,0,609,32,0,14,0,1,1,15.225
26,770,16,0,1,40,0,300,24,0,16,0,0,0,7.5
31,234,16,0,0,25,0,374,26,0,12,0,1,1,9.35
45,1900,18,0,0,60,1,885,46,0,18,1,0,0,22.125
51,250,12,0,0,40,0,400,53,0,17,0,1,0,10
49,400,12,0,1,40,0,300,46,0,8,1,0,0,8.571428
39,290,12,0,0,40,1,254,36,0,10,0,0,0,6.35
33,405,12,0,0,47,1,346,38,0,12,0,0,0,8.65
43,800,14,0,0,40,1,560,39,0,12,0,0,0,14
48,472,10,0,0,40,0,294,47,0,12,0,0,0,7.35
53,600,14,0,0,40,0,400,54,0,14,0,1,0,10
61,685,11,0,0,40,0,540,59,0,12,0,0,0,13.5
44,1300,18,0,0,40,1,250,44,0,14,0,0,0,7.142857
26,460,12,0,0,40,0,400,25,0,14,0,0,0,10
49,360,6,0,0,40,0,400,48,0,14,0,0,0,10
41,400,16,0,1,40,0,424,39,0,16,1,0,1,10.6
49,800,12,0,0,40,1,160,49,0,12,0,0,0,6.666667
49,440,12,0,0,40,0,345,47,0,12,0,0,0,8.625
51,420,10,0,0,40,0,224,49,0,12,0,0,0,4.148148
35,570,12,0,0,44,0,460,34,0,13,0,0,1,11.5
35,392,9,0,0,40,0,375,27,0,16,0,0,1,9.375
27,365,16,0,0,45,0,346,26,0,16,0,1,0,7.688889
48,1000,17,0,1,45,0,1800,47,0,15,0,0,0,30
22,660,16,0,0,50,0,105,22,0,16,0,0,0,5.25
48,425,9,0,0,40,1,425,41,0,12,0,0,0,10.625
57,1800,18,0,0,40,0,600,54,0,18,0,0,0,17.14286
62,200,11,0,0,40,0,520,58,0,12,0,0,0,13
47,560,16,0,0,40,1,640,44,0,16,0,0,0,16
26,350,16,0,0,45,0,400,28,0,16,0,0,0,10
28,800,16,0,0,50,0,450,29,0,12,0,0,0,9
53,260,12,0,0,40,0,300,51,0,11,0,0,0,6.666667
56,450,12,0,0,40,0,375,54,0,14,0,0,0,9.375
39,800,16,0,0,40,1,1000,35,0,16,0,0,0,22.22222
44,640,12,0,0,40,1,200,39,0,12,0,0,0,5
30,540,16,0,0,46,0,423,29,0,16,0,1,1,10.575
24,250,12,1,0,40,0,210,30,1,16,0,0,0,5.25
49,400,8,0,0,60,0,164,46,0,13,0,0,0,8.2
33,720,12,0,0,55,0,392,32,0,16,0,0,1,16.33333
48,480,12,0,0,40,0,288,47,0,12,0,0,0,7.2
46,1200,16,0,0,50,0,425,45,0,16,0,0,0,9.444445
45,370,15,0,0,45,0,550,45,0,16,0,0,0,13.75
29,600,14,0,0,40,0,700,34,0,13,0,0,0,20
62,425,5,0,0,40,0,348,59,0,9,0,0,0,8.7
39,480,12,0,0,40,0,475,37,0,18,0,1,1,22.61905
30,310,12,0,0,54,0,150,24,0,12,0,0,1,5
36,675,16,0,0,30,0,494,35,0,13,0,0,0,14.11429
40,699,14,0,0,40,1,772,40,0,13,0,0,0,19.3
50,700,11,0,1,40,0,600,37,0,13,1,0,1,15
37,350,12,0,0,35,1,800,35,0,12,0,0,0,20
36,400,12,0,0,40,0,400,35,0,12,0,0,0,10
30,653,13,0,0,45,1,415,32,0,12,0,0,0,9.222222
53,1060,18,0,0,40,1,274,49,0,12,0,0,0,6.85
50,720,14,0,0,42,0,720,46,0,14,0,0,0,18
44,584,16,0,0,32,1,434,41,0,15,0,0,0,10.85
29,418,13,0,0,38,0,760,35,0,13,0,0,0,21.71428
63,168,8,0,0,24,0,347,54,0,10,0,0,0,8.675
21,350,12,0,0,40,0,220,18,0,12,0,0,1,5.5
26,500,16,0,0,40,0,320,28,0,16,0,0,0,8
27,732,12,0,0,40,0,163,25,0,12,0,0,1,6.52
23,700,12,0,0,40,0,240,24,0,12,0,0,1,6
42,600,18,0,0,40,0,600,38,0,18,0,0,1,24
34,525,16,0,0,38,0,302,29,0,12,0,0,1,10.06667
41,600,14,0,0,40,0,560,44,0,12,0,1,0,14
22,207,12,0,0,41,0,310,21,0,12,0,0,1,6.2
40,728,12,0,0,56,1,180,40,0,12,0,0,0,7.5
32,665,15,0,0,45,0,500,30,0,18,0,0,1,12.5
34,235,12,0,0,50,0,331,31,0,12,0,0,1,9.457143
53,500,18,0,0,45,0,1200,52,0,18,0,0,0,26.66667
52,226,9,1,0,36,0,600,48,1,15,0,1,0,15
54,440,12,0,0,32,0,294,46,0,14,0,1,0,7.35
28,450,12,0,0,45,0,250,27,0,10,0,0,1,5.555555
60,560,10,0,0,40,0,364,58,0,14,0,0,0,11.375
38,345,6,0,1,40,1,365,35,0,9,1,1,0,9.125
47,370,18,0,0,37,0,625,44,0,16,0,0,0,15.625
53,279,12,0,0,40,0,285,51,0,12,0,0,0,7.125
26,416,16,0,0,35,0,332,25,0,16,0,1,0,8.3
25,500,13,0,0,40,0,754,23,0,13,0,1,0,15.70833
43,1200,16,0,0,40,1,236,43,0,12,0,0,0,5.9
54,575,12,0,0,48,0,555,46,0,12,0,0,0,13.875
41,705,16,0,0,40,1,259,37,0,14,0,0,0,7.4
41,700,12,0,0,45,0,200,37,0,12,0,0,1,6.666667
44,569,18,0,0,40,0,579,38,0,18,0,0,1,14.475
59,1500,17,0,0,40,0,1500,58,0,12,0,0,0,37.5
23,320,12,0,0,40,0,518,25,0,12,0,0,1,10.36
58,800,17,0,0,55,0,140,58,0,12,0,0,0,7
52,710,12,0,0,45,0,164,52,0,12,0,0,1,5.466667
36,492,13,0,0,40,1,360,36,0,15,0,1,0,9
48,1000,14,0,0,40,0,700,51,0,12,0,0,0,17.5
38,750,13,0,0,50,1,300,35,0,15,0,0,0,7.5
39,1700,17,0,0,65,1,490,38,0,12,0,0,0,16.33333
38,1500,13,0,0,60,1,214,39,0,13,0,0,0,5.35
44,615,12,1,0,40,0,383,43,1,12,0,1,0,9.575
39,485,16,0,0,40,1,475,39,0,16,0,0,0,11.875
43,580,16,0,0,48,1,210,42,0,12,0,0,0,5.25
31,560,14,0,0,40,0,260,31,0,15,0,0,1,6.5
39,600,12,0,0,40,0,600,33,0,12,0,1,1,15
29,350,12,0,0,40,0,410,28,0,14,0,0,1,9.111111
38,1200,16,0,0,40,0,370,28,0,13,0,0,0,9.25
27,962,16,0,0,50,0,423,27,0,14,0,0,0,10.575
44,688,17,0,0,32,1,465,43,0,17,0,1,0,11.625
44,750,18,0,0,40,0,397,49,0,16,0,0,0,8.822222
29,584,15,0,0,56,0,500,26,0,15,0,0,0,10.41667
43,975,18,0,0,32,1,827,42,0,18,0,1,0,27.56667
31,600,12,0,0,40,0,550,27,0,12,0,0,0,12.5
56,460,8,0,0,40,0,259,51,0,12,0,0,0,6.475
45,280,15,0,0,40,0,337,51,0,13,0,0,0,8.425
32,1350,18,0,0,50,0,750,34,0,15,0,0,1,18.75
33,450,16,1,0,60,0,575,34,1,16,0,0,1,11.5
30,539,13,0,0,40,0,372,23,0,12,0,0,1,9.3
32,700,12,0,1,50,0,350,25,0,12,1,0,0,8.75
40,480,12,0,0,40,0,200,43,0,14,0,0,1,5
29,460,14,0,0,40,0,400,32,0,12,0,1,0,10
33,800,18,0,0,60,0,250,32,0,16,0,0,1,12.5
37,563,12,0,0,60,1,334,35,0,12,0,0,0,8.35
37,500,16,0,0,50,1,500,34,0,17,0,1,0,12.5
48,1250,16,0,0,45,0,285,46,0,12,0,0,0,7.125
51,350,12,0,0,40,0,620,43,0,17,0,0,0,15.5
30,400,12,0,0,40,0,650,29,0,16,0,0,0,16.25
29,424,13,0,0,60,0,340,24,0,12,0,0,1,8.5
28,500,13,0,0,40,0,385,29,0,15,0,0,1,9.625
45,850,12,0,0,55,0,144,44,0,12,0,0,0,5.333333
47,1500,18,0,0,50,1,750,46,0,18,0,1,0,21.42857
26,250,12,0,0,40,0,250,25,0,12,0,0,1,6.25
53,770,14,0,0,35,0,200,45,0,7,0,0,0,5
46,550,12,0,0,40,0,600,41,0,16,0,0,0,15
40,654,16,0,1,40,0,300,39,0,12,1,0,1,10
62,300,12,0,0,60,0,140,57,0,12,0,0,0,6.666667
49,1500,16,0,0,48,1,405,35,0,12,0,1,0,10.125
34,1263,12,0,0,60,0,692,32,0,18,0,0,0,17.3
47,500,14,0,0,55,0,350,43,0,12,0,0,0,10.9375
36,1000,16,0,0,50,0,272,36,0,14,0,0,1,8.5
37,240,14,0,0,40,1,854,33,0,15,0,0,0,14.23333
39,850,16,0,0,50,1,117,37,0,12,0,0,0,4.68
46,240,12,0,0,40,1,453,38,0,12,0,0,0,11.325
34,275,14,0,0,55,0,184,31,0,12,0,0,1,4.6
41,900,16,0,0,40,0,540,35,0,17,0,0,0,13.5
49,425,8,0,0,60,0,280,48,0,12,0,0,0,7
46,280,12,0,0,32,0,577,46,0,16,0,1,0,11.54
34,500,12,0,0,50,1,360,33,0,12,0,0,0,9
43,650,12,0,0,38,1,720,40,0,14,0,0,0,18
24,450,13,0,0,50,0,366,23,0,14,0,0,0,9.15
48,673,16,0,0,50,0,577,45,0,16,0,0,1,14.425
52,1000,14,0,0,50,0,300,35,0,12,0,0,0,7.5
45,254,16,0,0,45,1,166,43,0,13,0,0,0,6.916667
54,700,8,0,0,50,1,175,40,0,13,0,0,0,5
37,519,18,0,0,45,0,183,36,0,17,0,0,1,9.15
51,520,12,0,0,45,1,700,39,0,12,0,0,0,17.5
41,600,13,0,0,50,0,500,45,0,16,0,0,0,12.5
30,550,12,0,0,50,0,350,30,0,18,0,0,1,17.5
38,340,13,0,0,40,1,250,48,0,16,0,0,0,5.555555
31,345,12,0,0,48,0,290,25,0,14,0,0,1,7.25
50,500,12,0,0,50,0,336,57,0,11,0,0,0,7
42,950,12,0,0,50,1,247,43,0,12,0,0,0,7.057143
39,360,11,1,0,40,1,260,40,1,12,0,0,0,6.5
49,200,10,0,1,65,0,191,51,0,7,1,0,0,3.979167
61,400,16,0,0,40,0,563,57,0,15,0,0,0,14.075
43,300,12,0,0,40,0,425,44,0,12,0,0,0,8.5
40,932,16,0,0,40,1,1182,42,0,18,0,1,0,29.55
36,560,12,0,0,40,1,200,32,0,13,0,0,0,5
30,528,13,0,0,48,0,186,31,0,14,0,0,0,5.8125
27,560,12,0,0,40,0,480,28,0,12,0,0,1,12
48,600,12,0,0,40,1,173,41,0,14,0,0,0,5.766667
39,900,18,0,0,40,0,300,40,0,14,0,1,1,12.5
55,325,15,0,1,36,0,318,48,0,13,1,0,0,7.95
43,961,16,0,0,40,0,500,40,0,16,0,1,0,12.5
44,600,15,0,0,48,1,450,37,0,12,0,0,0,11.25
52,1500,16,0,0,50,0,875,49,0,16,0,0,0,17.5
59,670,18,0,0,40,0,317,55,0,14,0,0,0,7.925
26,334,11,0,0,40,0,400,23,0,12,0,0,1,10
42,285,7,0,0,40,1,285,40,0,12,0,1,0,7.125
39,800,16,0,0,40,0,300,35,0,12,0,0,1,7.5
58,523,12,0,0,48,0,200,52,0,14,0,0,0,5.555555
36,700,12,0,0,40,0,220,33,0,9,0,1,1,11
35,1000,12,0,0,40,1,520,33,0,15,0,0,0,13
22,400,12,0,0,40,0,180,22,0,12,0,0,0,3.75
45,400,15,0,0,54,1,320,47,0,13,0,0,0,8
49,1000,12,0,0,50,0,338,48,0,12,0,0,0,8.45
55,578,18,0,0,40,1,596,51,0,18,0,1,0,14.9
36,240,12,0,0,40,0,520,45,0,14,0,1,0,13
28,320,12,0,0,40,0,280,35,0,12,1,0,1,7
60,575,18,0,0,40,0,432,57,0,15,0,0,0,18
26,380,11,0,0,48,0,300,28,0,12,0,0,1,7.5
55,800,12,0,0,40,0,160,54,0,12,0,0,0,4.571429
26,200,16,0,0,20,0,520,26,0,18,0,0,0,13
40,250,12,0,0,40,1,456,39,0,13,0,1,0,11.4
38,500,14,0,0,40,0,300,27,0,12,0,0,0,7.5
39,280,12,0,0,40,0,500,40,0,16,0,0,1,12.5
33,560,12,0,0,40,1,240,32,0,12,0,0,0,12
27,468,13,0,0,52,1,232,25,0,13,0,0,0,5.8
43,960,17,0,0,40,1,300,36,0,16,0,0,0,7.5
24,425,12,0,0,60,0,189,26,0,12,0,0,1,4.725
34,456,14,0,0,38,1,140,33,0,13,0,0,0,7
51,950,18,0,0,40,0,600,50,0,12,0,0,0,15
38,300,13,0,0,50,1,204,38,0,13,0,1,0,6.8
29,694,12,0,0,40,0,240,24,0,15,0,0,0,6
41,407,13,0,0,40,0,400,28,0,13,0,0,1,8
42,280,12,1,0,40,1,148,40,1,13,0,0,0,4.228571
30,600,12,0,0,40,0,190,29,0,17,0,0,0,6.333333
43,850,12,0,0,40,0,497,34,0,12,0,0,1,12.425
46,700,16,0,0,44,1,600,42,0,16,0,1,0,15
55,800,18,0,0,48,0,962,52,0,16,0,0,0,21.37778
36,500,12,0,0,40,1,245,34,0,11,0,0,0,6.805555
32,617,15,0,0,42,0,320,28,0,15,0,0,0,8
47,800,12,0,0,40,1,500,44,0,16,0,1,0,12.5
48,300,16,0,0,40,0,260,50,0,12,0,0,0,6.5
44,1500,18,0,0,40,1,500,38,0,16,0,0,0,12.5
41,430,13,0,0,54,0,340,29,0,14,0,0,1,8.5
27,387,12,0,0,42,0,382,23,0,12,0,1,1,9.55
48,900,14,0,0,50,1,650,41,0,17,0,1,0,16.25
43,450,15,0,0,40,1,300,38,0,12,1,0,0,7.5
51,336,12,0,0,41,0,331,51,0,12,0,0,0,7.355556
34,500,12,0,0,40,1,427,36,0,14,0,0,0,10.675
37,500,12,0,0,55,0,404,37,0,12,0,0,0,10.1
31,444,10,0,0,40,1,385,28,0,11,0,0,0,9.625
30,424,10,0,0,40,1,240,29,0,10,0,0,0,6
